,DateOfDeparture,Departure,Arrival,WeeksToDeparture,log_PAX,std_wtd,DateDay,DateMonth,DateYear
36,17/01/2013,DTW,ATL,8.166666667,11.04360019,6.223768482,17,01,2013
37,01/08/2012,ORD,DTW,10.65,11.40186904,9.836960378,01,08,2012
38,13/10/2012,LAX,JFK,17.0,12.79301549,11.21733353,13,10,2012
39,02/08/2012,SFO,ORD,16.03333333,12.30859847,11.62186801,02,08,2012
40,16/08/2012,ORD,SFO,18.48484848,12.34378774,13.49565025,16,08,2012
41,21/03/2012,BOS,ORD,7.8,11.92700783,6.037975063,21,03,2012
42,04/09/2012,DEN,SEA,13.0,10.99291838,9.334368473,04,09,2012
43,12/07/2012,BOS,EWR,12.09090909,11.59381966,9.231979053,12,07,2012
44,07/01/2012,PHL,BOS,5.545454545,7.785131052,4.227614844,07,01,2012
45,01/09/2012,LAX,EWR,13.16666667,10.32699416,9.959337618,01,09,2012
46,12/12/2011,ATL,ORD,10.63157895,12.06210132,9.917495911,12,12,2011
47,23/07/2012,ORD,DEN,14.03703704,11.58261857,9.705198771,23,07,2012
48,06/03/2012,DFW,ORD,6.928571429,12.16902211,5.014813222,06,03,2012
49,25/01/2012,PHL,DFW,5.454545455,10.42705517,4.156047073,25,01,2012
50,24/07/2012,MSP,DEN,11.08695652,10.93022421,8.145902726,24,07,2012
51,07/03/2012,ATL,MCO,11.08695652,11.84099029,8.45261145,07,03,2012
52,19/10/2012,BOS,EWR,13.26086957,11.20629091,10.72048757,19,10,2012
53,30/10/2011,ORD,MSP,8.631578947,11.03859354,6.49110953,30,10,2011
54,25/12/2011,EWR,LAX,12.81818182,10.00741517,8.671993035,25,12,2011
55,04/09/2012,DEN,DFW,9.111111111,11.52943847,6.08652213,04,09,2012
56,09/03/2012,ORD,LAX,13.25,12.02111119,10.01412047,09,03,2012
57,02/10/2011,CLT,LGA,11.40909091,10.72247853,7.920191742,02,10,2011
58,20/12/2012,SFO,JFK,18.48648649,12.064995,12.77719675,20,12,2012
59,28/10/2012,MCO,ATL,13.25925926,11.02853973,9.800284896,28,10,2012
60,15/09/2011,ORD,DTW,9.647058824,11.71975785,7.557621786,15,09,2011
61,19/07/2012,ORD,DFW,11.13043478,12.93429774,7.027894731,19,07,2012
62,20/05/2012,LAX,DEN,11.79166667,11.41010294,9.357532036,20,05,2012
63,28/08/2012,PHX,DEN,11.26315789,10.84321248,9.15206173,28,08,2012
64,28/01/2013,JFK,LAS,12.22727273,11.49443268,10.11802643,28,01,2013
65,17/05/2012,CLT,ATL,9.95,11.11231759,8.255620095,17,05,2012
66,13/08/2012,ORD,SEA,16.59375,11.35592107,10.9569815,13,08,2012
67,25/10/2012,DFW,PHL,11.57142857,11.57511363,9.135488102,25,10,2012
68,25/12/2012,DEN,LAX,15.03448276,10.39193217,11.89082107,25,12,2012
69,12/02/2012,MIA,ATL,14.75,10.37053642,10.77935269,12,02,2012
70,11/10/2011,ORD,EWR,11.23809524,12.13312954,8.514133907,11,10,2011
71,16/05/2012,JFK,LAX,16.91428571,13.69531188,11.74827003,16,05,2012
72,19/03/2012,LAS,ORD,12.625,11.150477,9.792688044,19,03,2012
73,16/07/2012,MCO,PHL,13.57692308,10.22125872,9.533826417,16,07,2012
74,12/09/2012,BOS,LGA,5.0,13.40480635,4.156047073,12,09,2012
75,09/03/2012,DFW,DEN,7.133333333,11.23358372,4.718756898,09,03,2012
76,20/11/2012,CLT,LGA,12.44,11.39773842,8.266801074,20,11,2012
77,21/01/2013,DEN,ORD,9.631578947,10.93552998,7.158604196,21,01,2013
78,05/11/2011,ATL,PHL,12.54166667,9.954379112,10.2149897,05,11,2011
79,20/01/2012,DEN,DFW,10.15,11.46275505,7.005824644,20,01,2012
80,26/10/2011,ATL,LAX,13.15384615,11.30011786,8.670373961,26,10,2011
81,24/09/2011,PHL,ORD,11.36363636,10.44781578,7.877305888,24,09,2011
82,17/02/2012,DEN,SFO,12.77272727,10.98261462,9.748903812,17,02,2012
83,30/11/2011,DTW,ATL,9.105263158,10.79242331,5.801290439,30,11,2011
84,19/12/2011,JFK,MIA,15.39285714,10.83763706,11.46763331,19,12,2011
85,10/01/2013,PHL,MCO,13.07407407,10.52862159,8.061904365,10,01,2013
86,19/09/2012,CLT,LGA,10.73684211,11.97616984,8.312254042,19,09,2012
87,28/10/2011,JFK,LAX,14.83870968,13.2243749,10.09982434,28,10,2011
88,29/11/2012,JFK,LAS,11.7826087,10.23673578,8.062012617,29,11,2012
89,30/01/2012,LGA,MIA,11.05263158,10.84877128,9.605980106,30,01,2012
90,21/03/2012,PHX,DEN,8.0,11.31314452,5.656854249,21,03,2012
91,11/04/2012,ATL,DTW,9.888888889,10.65597315,8.930377035,11,04,2012
92,24/06/2012,LAS,LAX,16.61764706,11.74738763,11.70344344,24,06,2012
93,13/12/2012,LAX,ATL,10.7826087,11.55621807,7.839042855,13,12,2012
94,01/09/2012,LAS,DEN,11.27272727,9.610763884,7.747084356,01,09,2012
95,07/01/2013,ORD,MSP,9.235294118,11.76784461,9.417599294,07,01,2013
96,19/01/2013,ATL,LAX,13.37037037,10.34162149,10.22496247,19,01,2013
97,11/09/2011,DTW,ORD,10.36842105,10.88178056,7.882544191,11,09,2011
98,18/10/2011,PHX,DEN,9.55,11.06843379,6.004165221,18,10,2011
99,10/01/2012,ATL,SFO,13.59090909,10.40606085,11.37524083,10,01,2012
100,05/03/2012,ATL,ORD,10.57142857,12.04756519,8.628855246,05,03,2012
101,22/09/2011,DFW,ORD,11.95833333,13.0211389,7.83236966,22,09,2011
102,20/11/2011,DFW,LGA,9.0,10.41308525,6.259111006,20,11,2011
103,07/02/2013,LAX,IAH,13.17391304,10.5482876,11.3323839,07,02,2013
104,15/12/2011,PHX,ORD,13.32,10.65597315,9.625140692,15,12,2011
105,03/07/2012,DFW,LAX,14.86206897,11.21086754,10.16550237,03,07,2012
106,16/07/2012,MCO,EWR,15.71428571,10.65597315,11.39154054,16,07,2012
107,07/03/2012,DEN,MSP,8.133333333,10.70457462,6.545081759,07,03,2012
108,01/12/2011,SEA,LAX,10.57894737,10.96183473,9.032753914,01,12,2011
109,19/07/2012,DEN,LAS,12.30769231,10.48191135,8.675340827,19,07,2012
110,08/08/2012,SFO,EWR,16.76666667,10.56774839,12.43377861,08,08,2012
111,17/07/2012,ATL,LAX,11.86363636,11.44671215,8.41368191,17,07,2012
112,19/06/2012,EWR,MCO,14.0,10.65597315,11.00841429,19,06,2012
113,16/10/2012,LAX,SFO,15.03448276,12.87157256,11.91482498,16,10,2012
114,12/04/2012,LAX,EWR,8.588235294,11.01843144,5.874295953,12,04,2012
115,25/10/2011,ORD,PHL,11.61904762,11.85074607,9.041438992,25,10,2011
116,08/04/2012,ATL,MCO,11.47826087,10.05048812,9.174418809,08,04,2012
117,24/02/2012,ORD,MSP,11.3,11.60865056,9.476286192,24,02,2012
118,07/01/2013,ATL,DTW,9.2,10.40606085,6.978161423,07,01,2013
119,24/11/2011,DEN,ORD,10.17647059,8.285436883,7.307832221,24,11,2011
120,04/06/2012,EWR,ATL,8.736842105,11.45875724,6.942958905,04,06,2012
121,21/11/2012,LAS,DEN,11.40909091,10.14188607,8.15714172,21,11,2012
122,16/02/2013,ORD,PHX,9.277777778,9.775731099,6.806619231,16,02,2013
123,06/01/2013,BOS,LGA,3.5,8.944033095,2.449489743,06,01,2013
124,12/10/2011,PHL,MCO,12.91666667,10.29739075,9.088533945,12,10,2011
125,28/04/2012,PHL,MCO,15.89655172,10.00741517,11.99804992,28,04,2012
126,04/11/2012,MSP,DEN,8.764705882,9.981085665,8.764483811,04,11,2012
127,12/09/2012,SEA,SFO,11.55,11.64521988,10.1694848,12,09,2012
128,27/05/2012,ATL,PHL,9.65,10.68649717,6.175290319,27,05,2012
129,24/10/2011,ATL,PHL,9.789473684,12.07364919,6.671489484,24,10,2011
130,11/09/2011,SFO,LAS,12.80769231,10.95660338,8.148713915,11,09,2011
131,26/06/2012,LGA,BOS,5.076923077,13.00897786,3.774068063,26,06,2012
132,19/04/2012,LAX,JFK,15.96969697,13.51297103,10.96153744,19,04,2012
133,18/09/2011,LAS,ORD,13.67857143,11.39359863,8.511663333,18,09,2011
134,21/04/2012,SFO,DFW,9.611111111,10.14188607,7.547020362,21,04,2012
135,30/12/2011,LAX,LAS,16.64705882,11.81141296,11.62255475,30,12,2011
136,16/07/2012,EWR,SFO,12.38095238,11.24259329,11.38189875,16,07,2012
137,09/09/2012,ORD,LAS,14.15384615,11.02349244,10.48309995,09,09,2012
138,26/09/2012,DEN,DFW,12.04761905,11.51007198,10.84654872,26,09,2012
139,28/06/2012,SFO,SEA,11.0,11.72323404,8.388303545,28,06,2012
140,05/02/2012,ORD,EWR,7.058823529,10.79242331,4.95568598,05,02,2012
141,20/12/2011,ATL,MIA,14.75862069,10.83204493,10.93701178,20,12,2011
142,03/07/2012,DFW,ORD,14.5,10.74608613,12.28997471,03,07,2012
143,27/04/2012,IAH,ORD,11.05263158,11.15519249,9.033724987,27,04,2012
144,28/11/2012,DFW,BOS,8.266666667,10.61238242,8.859753839,28,11,2012
145,25/02/2012,DFW,LGA,10.0,9.918164852,6.727789971,25,02,2012
146,21/05/2012,EWR,LAX,10.25,11.47072504,7.635615992,21,05,2012
147,27/10/2012,SEA,ORD,11.15,9.511127243,8.499380782,27,10,2012
148,09/08/2012,ORD,EWR,13.53846154,12.17175468,9.166158494,09,08,2012
149,10/08/2012,DFW,ATL,9.294117647,11.88290162,7.15685603,10,08,2012
150,08/09/2011,ATL,LGA,10.63636364,12.43371278,8.074330015,08,09,2011
151,09/02/2012,DEN,LAX,13.08695652,11.34319081,10.09461172,09,02,2012
152,23/11/2011,SEA,SFO,13.84,11.00316552,9.990328657,23,11,2011
153,07/11/2012,DEN,ORD,10.94117647,10.84321248,11.55135592,07,11,2012
154,06/09/2011,PHL,BOS,10.5,11.60495388,7.72505473,06,09,2011
155,30/11/2011,MIA,ATL,13.29166667,10.89806866,9.534738165,30,11,2011
156,22/04/2012,ATL,MSP,11.95454545,10.76939863,9.746683308,22,04,2012
157,09/12/2011,ORD,DFW,12.65217391,12.46663881,9.527990801,09,12,2011
158,11/05/2012,LGA,ATL,11.72727273,12.58845803,9.077349194,11,05,2012
159,28/01/2012,DFW,ORD,10.05,10.30483577,7.133870286,28,01,2012
160,01/07/2012,SFO,LAX,14.36666667,12.01220914,10.10456822,01,07,2012
161,01/01/2013,LAX,BOS,13.66666667,9.81478961,8.948571008,01,01,2013
162,04/03/2013,ATL,DTW,11.77777778,9.417859021,10.89282309,04,03,2013
163,16/02/2012,LAX,ATL,14.72413793,11.88608689,9.724404322,16,02,2012
164,08/11/2011,BOS,PHL,7.058823529,12.27789859,4.95568598,08,11,2011
165,31/12/2011,EWR,BOS,11.55555556,7.66668009,7.625207594,31,12,2011
166,05/12/2011,ORD,MSP,8.888888889,12.44081746,7.568424258,05,12,2011
167,24/04/2012,MIA,ATL,11.52173913,10.8151672,10.31710656,24,04,2012
168,01/04/2012,ATL,LGA,9.1,11.91137508,6.904613256,01,04,2012
169,14/04/2012,ORD,DEN,9.0,9.077833738,6.259111006,14,04,2012
170,27/08/2012,LAX,SFO,15.87096774,12.71916517,11.73809165,27,08,2012
171,04/11/2012,JFK,SFO,13.11538462,11.8797109,10.23064777,04,11,2012
172,04/02/2012,ATL,LAX,14.17241379,10.64980794,10.7040345,04,02,2012
173,27/12/2011,PHL,MCO,17.0625,10.42008329,11.7937586,27,12,2011
174,09/05/2012,ATL,LGA,9.1,12.53079663,6.896986375,09,05,2012
175,11/01/2012,LAX,LAS,14.96428571,11.90193215,11.05368095,11,01,2012
176,19/07/2012,LAS,SFO,13.84615385,11.19710382,10.98978547,19,07,2012
177,18/02/2013,ATL,BOS,12.31818182,11.33037305,10.50345233,18,02,2013
178,22/01/2012,CLT,ATL,7.4375,10.61238242,6.25,22,01,2012
179,20/08/2012,LAX,ATL,14.67857143,11.36856502,11.69062167,20,08,2012
180,22/02/2012,ATL,LGA,10.52380952,12.43371278,8.268125831,22,02,2012
181,18/02/2013,LAS,JFK,14.03703704,10.42008329,11.2266218,18,02,2013
182,17/05/2012,DEN,SEA,13.55555556,10.91421574,8.824499695,17,05,2012
183,20/02/2012,BOS,SFO,7.666666667,11.26048288,5.936168397,20,02,2012
184,17/11/2011,ORD,DTW,8.631578947,11.87331303,6.643380384,17,11,2011
185,01/01/2013,DFW,LGA,10.27272727,9.578139569,7.635642102,01,01,2013
186,29/08/2012,SFO,LAX,15.87096774,12.65916632,12.03534222,29,08,2012
187,06/09/2011,DTW,ORD,8.823529412,11.338928,6.287241984,06,09,2011
188,10/12/2011,SEA,LAX,11.34782609,10.30483577,7.3522334,10,12,2011
189,11/09/2012,LAS,DEN,11.91666667,10.57419046,7.82369126,11,09,2012
190,22/12/2011,DFW,PHL,9.75,9.556068593,9.63673527,22,12,2011
191,27/12/2012,LAX,IAH,14.89285714,9.998679906,10.24636986,27,12,2012
192,23/08/2012,CLT,LGA,11.05263158,11.44267977,10.14601008,23,08,2012
193,11/11/2012,DEN,DFW,9.941176471,10.85983942,10.04035973,11,11,2012
194,27/02/2013,SFO,SEA,11.6,11.84424789,10.47000729,27,02,2013
195,12/03/2012,DEN,SFO,9.066666667,11.54860591,8.811248222,12,03,2012
196,10/03/2012,JFK,SFO,12.86363636,11.81472259,10.82015515,10,03,2012
197,25/11/2012,SFO,ORD,10.3,11.44671215,7.637166738,25,11,2012
198,27/06/2012,LAX,SEA,11.13043478,11.54096256,9.738883396,27,06,2012
199,15/02/2012,LGA,ATL,7.0625,12.41463358,5.470755585,15,02,2012
200,05/01/2012,DEN,SFO,12.96153846,10.57419046,10.43256735,05,01,2012
201,22/11/2011,CLT,ATL,11.19047619,10.22125872,8.394158967,22,11,2011
202,21/05/2012,ORD,LAS,11.76,11.23809395,8.530728769,21,05,2012
203,08/01/2013,ATL,MIA,11.27272727,10.32699416,8.865029306,08,01,2013
204,21/01/2013,ATL,CLT,9.0625,10.69254248,8.185098248,21,01,2013
205,02/01/2013,DTW,LGA,9.842105263,10.22125872,7.304969069,02,01,2013
206,24/04/2012,EWR,SFO,14.0,10.54175528,12.6419216,24,04,2012
207,17/01/2013,DEN,ATL,7.666666667,10.49537694,6.055300708,17,01,2013
208,01/09/2012,ORD,SFO,13.57692308,10.43400108,9.411367922,01,09,2012
209,15/03/2012,SFO,LAS,12.23809524,10.45468494,10.37258291,15,03,2012
210,26/01/2012,ATL,LGA,7.5,12.29586821,6.121002097,26,01,2012
211,23/12/2012,LAX,DFW,14.36,10.29739075,10.91970696,23,12,2012
212,25/02/2012,ORD,DEN,14.92592593,10.18991385,12.65800424,25,02,2012
213,13/02/2012,ATL,PHL,9.666666667,11.63067809,8.0,13,02,2012
214,08/01/2012,SFO,BOS,11.0,11.04859343,8.783956668,08,01,2012
215,21/11/2011,PHX,ORD,10.10526316,9.735837048,7.600400113,21,11,2011
216,09/09/2012,ATL,MIA,11.82608696,10.39193217,9.74517211,09,09,2012
217,28/07/2012,LAX,DEN,13.2962963,10.47514192,10.13681339,28,07,2012
218,18/01/2012,DEN,ORD,8.125,10.82643597,5.414486741,18,01,2012
219,08/10/2011,DFW,DEN,8.705882353,9.268581312,6.400827152,08,10,2011
220,01/04/2012,DFW,BOS,8.95,10.16605456,6.660764932,01,04,2012
221,05/03/2012,DFW,SFO,8.214285714,11.47866112,6.852047099,05,03,2012
222,27/03/2012,DTW,ATL,8.125,9.805101403,5.863730326,27,03,2012
223,12/01/2012,LAS,LAX,15.75,12.8413086,11.73635103,12,01,2012
224,12/10/2011,ORD,SEA,11.38095238,11.13149489,8.315504738,12,10,2011
225,06/01/2012,LAX,JFK,18.55555556,12.64862375,12.16656882,06,01,2012
226,06/01/2012,JFK,MIA,16.65625,10.92490331,11.3097428,06,01,2012
227,20/12/2011,ORD,LAS,9.578947368,9.578139569,6.46628684,20,12,2011
228,02/01/2012,PHL,ORD,10.72727273,10.6186724,6.950038151,02,01,2012
229,20/10/2012,LAX,SFO,16.76470588,11.86689314,11.60213884,20,10,2012
230,20/01/2013,ATL,LGA,8.294117647,11.23809395,5.52001705,20,01,2013
231,21/02/2012,ATL,LAX,12.82608696,11.63796316,9.796345209,21,02,2012
232,11/01/2013,LAS,SFO,17.91428571,13.13532248,13.10673699,11,01,2013
233,15/12/2012,DEN,ORD,11.4,9.21604331,7.56306816,15,12,2012
234,21/04/2012,LGA,ORD,11.17647059,11.05357334,10.36360998,21,04,2012
235,04/03/2012,DEN,SFO,10.75,10.91421574,9.272909042,04,03,2012
236,06/08/2012,ATL,PHL,10.52173913,12.06788419,7.409266711,06,08,2012
237,15/05/2012,LAS,DFW,9.25,9.765837305,9.448103866,15,05,2012
238,12/05/2012,ATL,EWR,13.04761905,9.441616996,11.67679832,12,05,2012
239,19/09/2011,ATL,LAX,11.0,11.95175082,8.140806304,19,09,2011
240,16/02/2012,ORD,IAH,11.86363636,11.50617444,8.322633824,16,02,2012
241,09/12/2011,PHL,ATL,9.555555556,11.54478815,7.22106577,09,12,2011
242,25/09/2011,DEN,MSP,12.81481481,10.64980794,9.089457279,25,09,2011
243,28/12/2011,LAX,JFK,19.68292683,12.24668487,12.84219417,28,12,2011
244,28/09/2012,LAX,ORD,15.83333333,12.23879913,11.13268977,28,09,2012
245,18/01/2013,LAX,ATL,14.1,12.03878882,9.312024114,18,01,2013
246,01/09/2011,LGA,BOS,6.583333333,12.57970226,7.216878365,01,09,2011
247,22/12/2011,LGA,MIA,18.0,10.2290133,11.75985194,22,12,2011
248,26/03/2012,SFO,DEN,10.0952381,11.04859343,6.378908699,26,03,2012
249,29/11/2011,LAS,SFO,11.57142857,10.10089594,8.194946178,29,11,2011
250,16/11/2012,ATL,PHL,9.85,11.73016705,6.499190233,16,11,2012
251,30/01/2012,LAX,BOS,9.166666667,10.42008329,7.770608274,30,01,2012
252,23/08/2012,SEA,LAX,14.03448276,11.72323404,9.667629192,23,08,2012
253,08/12/2012,LGA,BOS,3.0,7.949794623,2.828427125,08,12,2012
254,03/01/2012,BOS,EWR,11.05555556,10.32699416,10.4288752,03,01,2012
255,22/09/2011,SFO,EWR,14.53333333,11.91137508,8.861903483,22,09,2011
256,30/08/2012,SEA,DEN,8.666666667,11.07336107,5.656854249,30,08,2012
257,09/08/2012,ATL,DTW,8.277777778,11.26936373,6.433419689,09,08,2012
258,11/10/2012,BOS,SFO,12.64,11.58261857,8.582346222,11,10,2012
259,21/10/2012,PHL,BOS,8.0625,10.26730984,5.790437519,21,10,2012
260,02/09/2011,ATL,MSP,8.294117647,10.63741603,5.542615649,02,09,2011
261,05/01/2013,DEN,PHX,13.0,9.488243818,12.40071683,05,01,2013
262,24/09/2011,DFW,LAX,12.95833333,10.56774839,8.69522191,24,09,2011
263,18/06/2012,LAS,SFO,13.56,10.69254248,10.46454331,18,06,2012
264,03/05/2012,SFO,DFW,11.27272727,11.42646248,7.734781175,03,05,2012
265,16/11/2011,DEN,ATL,10.26315789,10.58700821,8.122958583,16,11,2011
266,30/01/2012,ATL,ORD,12.27272727,11.84749981,11.16193283,30,01,2012
267,18/11/2011,LGA,DFW,8.8125,11.63796316,7.341378163,18,11,2011
268,22/10/2012,SFO,DFW,12.36363636,11.4667443,9.824873461,22,10,2012
269,18/06/2012,DFW,PHL,6.928571429,10.88178056,4.921917789,18,06,2012
270,06/09/2012,MSP,DEN,10.95454545,10.77518151,8.465488891,06,09,2012
271,08/01/2013,SFO,BOS,10.33333333,10.58700821,6.718134662,08,01,2013
272,08/02/2013,PHL,BOS,7.555555556,9.610763884,8.790777996,08,02,2013
273,15/02/2013,CLT,LGA,9.0625,10.57419046,7.075485849,15,02,2013
274,06/08/2012,EWR,ATL,11.52380952,11.3088124,9.912714298,06,08,2012
275,17/08/2012,PHL,DFW,9.0,10.44092122,7.004760286,17,08,2012
276,19/12/2012,LGA,ORD,11.27777778,13.3329571,10.72548123,19,12,2012
277,22/05/2012,SFO,DFW,10.5,11.17859274,8.426149773,22,05,2012
278,01/09/2012,ATL,EWR,15.36363636,9.13435248,12.93406523,01,09,2012
279,19/01/2012,DEN,LAS,10.8,10.40606085,7.857949378,19,01,2012
280,23/12/2011,ORD,DEN,13.96,10.12559797,10.41025136,23,12,2011
281,11/11/2011,ATL,ORD,10.73684211,11.82132428,8.837056481,11,11,2011
282,12/09/2012,PHL,MCO,15.62068966,10.28991588,11.16248114,12,09,2012
283,13/12/2011,LAS,DFW,8.647058824,9.369415369,6.061571336,13,12,2011
284,17/04/2012,SEA,LAX,10.52380952,11.00826806,6.997278382,17,04,2012
285,20/08/2012,MCO,PHL,15.17857143,10.71652964,10.80141819,20,08,2012
286,05/11/2011,EWR,ATL,9.888888889,9.393794484,7.291323521,05,11,2011
287,26/10/2011,DFW,LAX,14.16666667,11.63432418,10.50327761,26,10,2011
288,03/11/2011,BOS,ATL,10.75,11.53328775,8.239027791,03,11,2011
289,10/08/2012,ATL,ORD,9.571428571,11.91451213,6.917885722,10,08,2012
290,15/07/2012,PHL,MCO,14.48275862,10.43400108,9.50045371,15,07,2012
291,23/05/2012,PHX,ORD,9.315789474,11.15989608,6.200829977,23,05,2012
292,20/05/2012,BOS,ORD,13.56,11.68817708,9.874546403,20,05,2012
293,05/06/2012,IAH,ORD,10.42105263,10.70457462,7.876235631,05,06,2012
294,07/03/2012,SEA,LAX,8.066666667,11.22453043,6.441679757,07,03,2012
295,20/04/2012,LGA,MIA,11.09090909,11.85074607,7.236870482,20,04,2012
296,22/01/2013,DTW,ATL,8.947368421,10.95135731,6.778017444,22,01,2013
297,27/05/2012,LAX,LAS,14.07142857,11.04360019,10.88977969,27,05,2012
298,22/02/2013,SEA,DEN,7.4,10.4615289,4.910629869,22,02,2013
299,10/09/2011,ORD,MSP,11.22727273,9.663900691,7.335054894,10,09,2011
300,06/12/2011,ORD,ATL,6.875,11.71627517,5.315072906,06,12,2011
301,17/09/2011,BOS,ORD,10.42857143,10.99804899,6.968295549,17,09,2011
302,22/04/2012,ORD,MSP,8.6875,11.34319081,7.854669524,22,04,2012
303,05/10/2011,JFK,MCO,13.42857143,9.963323857,9.354850481,05,10,2011
304,23/04/2012,CLT,LGA,5.583333333,11.4142063,3.75277675,23,04,2012
305,12/06/2012,LGA,DTW,7.466666667,10.5220199,6.653319973,12,06,2012
306,01/02/2012,ORD,BOS,13.57142857,11.63067809,11.29854605,01,02,2012
307,13/11/2011,LGA,MIA,13.26923077,10.83204493,9.710026539,13,11,2011
308,30/12/2011,DEN,SFO,13.48,9.663900691,10.13706072,30,12,2011
309,10/10/2012,LAX,DEN,11.40909091,11.19249325,8.255786374,10,10,2012
310,10/06/2012,DEN,SFO,16.52,11.36435988,13.68429757,10,06,2012
311,30/04/2012,ORD,SEA,12.6,10.93022421,10.99952152,30,04,2012
312,18/10/2011,MIA,ATL,14.65384615,11.09294105,9.995768335,18,10,2011
313,29/10/2011,BOS,SFO,13.73076923,9.981085665,9.370411698,29,10,2011
314,20/08/2012,JFK,MIA,17.06060606,10.64980794,11.40158814,20,08,2012
315,19/08/2012,MIA,JFK,14.82758621,10.09258868,9.603083454,19,08,2012
316,06/05/2012,LAX,DFW,11.70833333,11.60865056,9.905989258,06,05,2012
317,06/11/2011,ATL,LGA,9.428571429,11.92700783,6.852528209,06,11,2011
318,02/12/2012,SFO,ORD,9.894736842,11.39773842,7.22568518,02,12,2012
319,21/12/2011,PHX,ORD,13.65384615,10.71056171,9.818115125,21,12,2011
320,11/02/2012,BOS,SFO,8.888888889,9.674348761,5.89006031,11,02,2012
321,21/01/2013,DFW,BOS,9.833333333,10.69856825,7.453779144,21,01,2013
322,17/03/2012,EWR,SFO,12.5,10.11740026,10.28984705,17,03,2012
323,28/08/2012,DEN,ATL,12.15,10.51539476,10.14772466,28,08,2012
324,11/04/2012,DFW,SFO,7.875,11.22453043,5.560275773,11,04,2012
325,16/04/2012,PHL,BOS,11.0,11.17393612,11.35781669,16,04,2012
326,15/01/2012,ORD,SFO,10.69565217,11.21543297,7.893811055,15,01,2012
327,03/01/2012,LAX,DFW,15.46428571,11.82790268,11.23975136,03,01,2012
328,18/12/2011,PHL,DFW,9.222222222,9.13435248,6.421980229,18,12,2011
329,12/10/2011,LAX,SEA,10.85714286,11.10265448,7.584759154,12,10,2011
330,02/10/2011,LAX,JFK,14.71875,13.5472401,9.602534528,02,10,2011
331,02/01/2012,SFO,DFW,11.95833333,10.27487567,7.87113144,02,01,2012
332,24/08/2012,ORD,PHX,10.44444444,10.34889236,9.960050923,24,08,2012
333,26/02/2013,EWR,ORD,6.692307692,11.25155953,5.039586878,26,02,2013
