,DateOfDeparture,Departure,Arrival,WeeksToDeparture,log_PAX,std_wtd,DateDay,DateMonth,DateYear,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressurehPa,Mean Sea Level PressurehPa,Min Sea Level PressurehPa,Max VisibilityKm,Mean VisibilityKm,Min VisibilitykM,Max Wind SpeedKm/h,Mean Wind SpeedKm/h,Max Gust SpeedKm/h,Precipitationmm,CloudCover,Events,WindDirDegrees
22,22/02/2013,ATL,MIA,12.92,11.34319081,10.07025322,22,02,2013,11,8,6,6,5,4,96,88,80,1021,1019,1017,13,5,0,39,23,48.0,37.59,8,Rain-Thunderstorm,76
23,22/02/2013,ATL,LGA,9.65,12.39293355,7.99522884,22,02,2013,11,8,6,6,5,4,96,88,80,1021,1019,1017,13,5,0,39,23,48.0,37.59,8,Rain-Thunderstorm,76
24,25/04/2012,ATL,MSP,12.6,10.76939863,9.725396307,25,04,2012,27,19,10,14,9,5,77,60,42,1014,1013,1011,16,16,16,34,14,42.0,0.00,3,,228
25,25/04/2012,ATL,LGA,8.210526316,12.70280563,5.788676181,25,04,2012,27,19,10,14,9,5,77,60,42,1014,1013,1011,16,16,16,34,14,42.0,0.00,3,,228
26,31/01/2013,ORD,EWR,8.933333333,12.33630287,9.407190765,31,01,2013,-6,-10,-14,-9,-14,-19,77,69,61,1022,1011,1003,16,13,5,39,29,50.0,T,7,Snow,281
27,23/06/2012,IAH,LAX,13.62962963,10.26730984,9.178353079,23,06,2012,36,29,23,22,21,19,85,61,33,1012,1011,1010,16,16,14,19,5,40.0,0.00,2,,83
28,12/09/2011,LAX,ORD,12.80769231,12.66755768,8.129055201,12,09,2011,23,20,17,16,14,13,87,72,57,1017,1016,1015,16,16,16,27,12,,0.00,1,,262
29,12/09/2011,LAX,IAH,10.4,10.67434745,7.235875534,12,09,2011,23,20,17,16,14,13,87,72,57,1017,1016,1015,16,16,16,27,12,,0.00,1,,262
30,15/11/2012,DFW,ORD,9.9,12.87906243,6.608606828,15,11,2012,18,11,4,1,-1,-3,65,46,26,1027,1025,1023,16,16,16,19,7,24.0,0.00,4,,124
31,15/11/2012,DFW,LAX,10.90909091,11.86689314,8.922465445,15,11,2012,18,11,4,1,-1,-3,65,46,26,1027,1025,1023,16,16,16,19,7,24.0,0.00,4,,124
32,15/11/2012,DFW,PHL,9.0,11.38112382,9.296696802,15,11,2012,18,11,4,1,-1,-3,65,46,26,1027,1025,1023,16,16,16,19,7,24.0,0.00,4,,124
33,04/03/2012,ATL,DEN,10.56521739,10.561284,7.590820335,04,03,2012,12,8,4,-4,-6,-8,49,38,26,1019,1015,1010,16,16,16,45,22,61.0,0.00,2,,293
34,04/03/2012,ATL,LAX,10.81818182,11.52171599,8.168676314,04,03,2012,12,8,4,-4,-6,-8,49,38,26,1019,1015,1010,16,16,16,45,22,61.0,0.00,2,,293
35,04/03/2012,ATL,BOS,10.33333333,11.11713044,8.445906306,04,03,2012,12,8,4,-4,-6,-8,49,38,26,1019,1015,1010,16,16,16,45,22,61.0,0.00,2,,293
36,10/01/2012,ORD,PHX,13.76,10.64980794,9.95523313,10,01,2012,11,4,-4,0,-2,-5,92,68,44,1018,1014,1009,16,16,16,26,9,35.0,0.00,0,,204
37,10/01/2012,ORD,LAS,10.91304348,11.56001253,8.300673814,10,01,2012,11,4,-4,0,-2,-5,92,68,44,1018,1014,1009,16,16,16,26,9,35.0,0.00,0,,204
38,13/02/2013,SEA,SFO,7.0,11.75764417,4.472135955,13,02,2013,9,8,7,7,5,3,93,82,71,1034,1030,1027,16,15,10,47,15,61.0,2.29,8,Rain,210
39,15/06/2012,EWR,MCO,12.875,10.51539476,9.665323495,15,06,2012,27,21,16,14,12,8,78,57,35,1026,1025,1024,16,16,14,26,10,39.0,0.00,3,,78
40,15/06/2012,EWR,LAX,12.47826087,10.58061035,9.10978278,15,06,2012,27,21,16,14,12,8,78,57,35,1026,1025,1024,16,16,14,26,10,39.0,0.00,3,,78
41,03/02/2012,ATL,MSP,9.842105263,10.91421574,7.819229558,03,02,2012,17,12,7,3,1,-2,65,49,33,1029,1027,1025,16,16,16,26,15,37.0,T,6,,87
42,06/02/2013,SFO,DEN,10.52380952,10.91956718,7.13876073,06,02,2013,13,9,4,6,5,3,86,69,51,1023,1022,1021,16,16,16,39,13,45.0,0.00,2,,272
43,02/12/2011,ORD,DTW,9.833333333,11.25155953,8.304853294,02,12,2011,6,3,-1,0,-1,-3,96,77,57,1032,1029,1026,16,14,6,26,11,32.0,0.51,5,Snow,291
44,02/12/2011,ORD,IAH,11.59090909,11.11231759,8.255786374,02,12,2011,6,3,-1,0,-1,-3,96,77,57,1032,1029,1026,16,14,6,26,11,32.0,0.51,5,Snow,291
45,02/12/2011,ORD,LAX,13.75,12.0936875,10.50440825,02,12,2011,6,3,-1,0,-1,-3,96,77,57,1032,1029,1026,16,14,6,26,11,32.0,0.51,5,Snow,291
46,27/08/2012,JFK,MIA,16.06896552,10.21347175,10.34729445,27,08,2012,28,24,21,23,21,17,94,74,54,1024,1020,1015,16,15,2,34,16,47.0,13.21,6,Rain-Thunderstorm,174
47,16/04/2012,PHL,DFW,6.153846154,11.36435988,4.180234321,16,04,2012,32,23,15,15,14,12,84,58,31,1017,1015,1013,16,16,13,32,11,37.0,0.00,4,,209
48,16/04/2012,PHL,BOS,11.0,11.17393612,11.35781669,16,04,2012,32,23,15,15,14,12,84,58,31,1017,1015,1013,16,16,13,32,11,37.0,0.00,4,,209
49,12/11/2012,EWR,BOS,11.0,11.74051847,8.711758539,12,11,2012,19,14,8,14,11,8,100,84,68,1032,1028,1022,16,8,0,21,6,32.0,0.00,6,Fog,122
50,08/09/2011,ATL,PHL,8.684210526,11.55241587,6.700353486,08,09,2011,23,19,14,14,13,12,87,70,53,1015,1014,1013,16,16,16,27,15,32.0,0.00,5,,322
51,08/09/2011,ATL,LGA,10.63636364,12.43371278,8.074330015,08,09,2011,23,19,14,14,13,12,87,70,53,1015,1014,1013,16,16,16,27,15,32.0,0.00,5,,322
52,08/09/2011,ATL,CLT,6.066666667,10.61238242,4.366539438,08,09,2011,23,19,14,14,13,12,87,70,53,1015,1014,1013,16,16,16,27,15,32.0,0.00,5,,322
53,08/09/2011,ATL,ORD,9.368421053,11.80809744,6.317616695,08,09,2011,23,19,14,14,13,12,87,70,53,1015,1014,1013,16,16,16,27,15,32.0,0.00,5,,322
54,24/10/2012,LAS,JFK,14.03571429,11.40186904,8.971073444,24,10,2012,22,18,13,0,-4,-9,38,26,13,1015,1011,1007,16,16,16,39,15,52.0,0.00,1,,206
55,24/10/2012,LAS,SFO,14.96153846,11.56001253,11.44196056,24,10,2012,22,18,13,0,-4,-9,38,26,13,1015,1011,1007,16,16,16,39,15,52.0,0.00,1,,206
56,16/04/2012,ORD,EWR,8.133333333,12.11351279,6.289068369,16,04,2012,19,13,6,16,7,2,81,66,51,1023,1009,999,16,16,14,58,31,77.0,0.25,5,,240
57,16/04/2012,ORD,SFO,11.2,12.66336672,9.006430451,16,04,2012,19,13,6,16,7,2,81,66,51,1023,1009,999,16,16,14,58,31,77.0,0.25,5,,240
58,16/04/2012,ORD,DTW,7.117647059,11.65964917,5.060661431,16,04,2012,19,13,6,16,7,2,81,66,51,1023,1009,999,16,16,14,58,31,77.0,0.25,5,,240
59,16/04/2012,ORD,DFW,9.952380952,12.62949563,7.813297578,16,04,2012,19,13,6,16,7,2,81,66,51,1023,1009,999,16,16,14,58,31,77.0,0.25,5,,240
60,16/04/2012,ORD,ATL,7.5625,12.44789517,4.871259249,16,04,2012,19,13,6,16,7,2,81,66,51,1023,1009,999,16,16,14,58,31,77.0,0.25,5,,240
61,14/03/2012,PHL,ATL,8.176470588,11.52943847,6.616601225,14,03,2012,23,17,10,13,3,-4,100,59,17,1022,1020,1016,16,16,13,29,12,40.0,0.00,1,,287
62,24/07/2012,EWR,SFO,13.96,10.62494123,10.92199615,24,07,2012,36,30,24,22,19,14,87,59,31,1009,1005,1002,16,16,14,45,24,60.0,0.00,5,Rain-Thunderstorm,284
63,19/11/2011,SFO,ATL,9.526315789,9.765837305,6.653056282,19,11,2011,13,9,6,9,6,3,93,74,54,1016,1012,1006,16,16,11,42,13,50.0,7.87,5,Rain,154
64,19/11/2011,SFO,LAX,13.65384615,12.07364919,9.562185138,19,11,2011,13,9,6,9,6,3,93,74,54,1016,1012,1006,16,16,11,42,13,50.0,7.87,5,Rain,154
65,19/11/2011,SFO,ORD,13.66666667,11.22906257,9.186109916,19,11,2011,13,9,6,9,6,3,93,74,54,1016,1012,1006,16,16,11,42,13,50.0,7.87,5,Rain,154
66,02/05/2012,JFK,MCO,13.85185185,10.63741603,9.247468276,02,05,2012,12,12,11,9,8,4,83,80,77,1023,1021,1019,16,15,4,23,13,27.0,0.76,8,Rain,97
67,02/05/2012,JFK,MIA,14.55555556,10.31963724,10.92045834,02,05,2012,12,12,11,9,8,4,83,80,77,1023,1021,1019,16,15,4,23,13,27.0,0.76,8,Rain,97
68,02/05/2012,JFK,LAX,16.5483871,13.14830757,11.20666085,02,05,2012,12,12,11,9,8,4,83,80,77,1023,1021,1019,16,15,4,23,13,27.0,0.76,8,Rain,97
69,02/05/2012,JFK,LAS,14.28,10.86534895,11.22319028,02,05,2012,12,12,11,9,8,4,83,80,77,1023,1021,1019,16,15,4,23,13,27.0,0.76,8,Rain,97
70,04/03/2013,MIA,JFK,13.0,9.890535077,8.883505314,04,03,2013,21,14,7,7,3,-1,71,48,24,1024,1022,1020,16,16,16,21,8,32.0,0.00,0,,354
71,28/04/2012,SEA,ORD,7.625,9.755890744,4.964876635,28,04,2012,16,12,8,9,7,6,93,74,55,1027,1025,1023,16,16,16,19,9,27.0,T,7,,200
72,31/08/2012,LAS,JFK,17.62162162,11.12193089,11.68653392,31,08,2012,36,32,28,16,13,12,43,34,24,1011,1008,1004,16,16,16,34,17,45.0,T,6,Rain-Thunderstorm,183
73,31/08/2012,LAS,LAX,17.28571429,11.15519249,10.69241465,31,08,2012,36,32,28,16,13,12,43,34,24,1011,1008,1004,16,16,16,34,17,45.0,T,6,Rain-Thunderstorm,183
74,11/02/2012,MIA,LGA,13.78947368,10.26730984,13.22698818,11,02,2012,23,18,13,20,16,7,93,73,53,1019,1014,1012,16,16,10,29,13,47.0,8.13,6,Rain,305
75,17/01/2013,DTW,ATL,8.166666667,11.04360019,6.223768482,17,01,2013,4,-1,-7,-3,-7,-16,75,60,44,1027,1021,1016,16,16,16,35,18,48.0,0.00,6,,284
76,17/01/2013,DTW,LGA,9.055555556,11.42238603,6.197458893,17,01,2013,4,-1,-7,-3,-7,-16,75,60,44,1027,1021,1016,16,16,16,35,18,48.0,0.00,6,,284
77,01/08/2012,ORD,DTW,10.65,11.40186904,9.836960378,01,08,2012,32,26,20,19,18,16,90,65,40,1015,1013,1011,16,16,16,14,6,,0.00,2,,217
78,01/08/2012,ORD,MSP,11.32,12.38076798,7.883104295,01,08,2012,32,26,20,19,18,16,90,65,40,1015,1013,1011,16,16,16,14,6,,0.00,2,,217
79,01/08/2012,ORD,LGA,14.2962963,13.40903053,10.17468508,01,08,2012,32,26,20,19,18,16,90,65,40,1015,1013,1011,16,16,16,14,6,,0.00,2,,217
80,13/10/2012,LAX,JFK,17.0,12.79301549,11.21733353,13,10,2012,22,18,14,16,13,11,87,70,53,1022,1020,1017,16,16,16,21,10,,0.00,2,,302
81,02/08/2012,SFO,ORD,16.03333333,12.30859847,11.62186801,02,08,2012,21,17,12,12,10,9,89,71,53,1016,1015,1012,16,16,14,45,20,53.0,0.00,3,Fog,298
82,02/08/2012,SFO,SEA,12.92307692,11.54096256,10.04757912,02,08,2012,21,17,12,12,10,9,89,71,53,1016,1015,1012,16,16,14,45,20,53.0,0.00,3,Fog,298
83,16/08/2012,ORD,SFO,18.48484848,12.34378774,13.49565025,16,08,2012,24,21,17,20,17,12,93,74,54,1013,1011,1008,16,14,2,37,17,47.0,9.91,7,Rain-Thunderstorm,250
84,21/03/2012,BOS,ORD,7.8,11.92700783,6.037975063,21,03,2012,26,19,13,13,13,12,86,65,43,1027,1025,1023,16,16,16,32,17,48.0,0.00,0,,231
85,21/03/2012,BOS,PHL,6.785714286,11.38944962,4.6604485,21,03,2012,26,19,13,13,13,12,86,65,43,1027,1025,1023,16,16,16,32,17,48.0,0.00,0,,231
86,04/09/2012,DEN,SEA,13.0,10.99291838,9.334368473,04,09,2012,33,26,17,6,-2,-11,44,25,6,1019,1011,1008,16,16,16,35,18,45.0,0.00,2,,259
87,04/09/2012,DEN,DFW,9.111111111,11.52943847,6.08652213,04,09,2012,33,26,17,6,-2,-11,44,25,6,1019,1011,1008,16,16,16,35,18,45.0,0.00,2,,259
88,12/07/2012,BOS,EWR,12.09090909,11.59381966,9.231979053,12,07,2012,30,24,17,18,15,12,84,62,40,1022,1021,1019,16,16,14,32,17,39.0,0.00,2,,191
89,07/01/2012,PHL,BOS,5.545454545,7.785131052,4.227614844,07,01,2012,17,9,1,2,-1,-5,76,53,29,1017,1011,1008,16,16,16,35,13,40.0,0.00,2,,258
90,07/01/2012,PHL,MCO,13.69565217,9.785572682,9.285544888,07,01,2012,17,9,1,2,-1,-5,76,53,29,1017,1011,1008,16,16,16,35,13,40.0,0.00,2,,258
91,01/09/2012,LAX,EWR,13.16666667,10.32699416,9.959337618,01,09,2012,26,22,18,17,16,13,87,71,54,1014,1013,1012,16,16,11,29,10,35.0,0.00,0,,260
92,01/09/2012,LAX,LAS,14.35714286,11.52943847,9.580900312,01,09,2012,26,22,18,17,16,13,87,71,54,1014,1013,1012,16,16,11,29,10,35.0,0.00,0,,260
93,01/09/2012,LAX,DFW,18.06060606,10.65597315,11.98681409,01,09,2012,26,22,18,17,16,13,87,71,54,1014,1013,1012,16,16,11,29,10,35.0,0.00,0,,260
94,12/12/2011,ATL,ORD,10.63157895,12.06210132,9.917495911,12,12,2011,10,8,6,2,-1,-4,62,56,49,1032,1031,1029,16,16,16,32,18,40.0,0.00,8,,72
95,12/12/2011,ATL,BOS,8.105263158,11.78472233,5.636140689,12,12,2011,10,8,6,2,-1,-4,62,56,49,1032,1031,1029,16,16,16,32,18,40.0,0.00,8,,72
96,12/12/2011,ATL,LAX,9.333333333,11.66323911,6.650814486,12,12,2011,10,8,6,2,-1,-4,62,56,49,1032,1031,1029,16,16,16,32,18,40.0,0.00,8,,72
97,23/07/2012,ORD,DEN,14.03703704,11.58261857,9.705198771,23,07,2012,36,32,27,24,19,17,70,56,42,1015,1013,1012,16,16,16,29,17,40.0,T,5,Rain,246
98,23/07/2012,ORD,SFO,14.17857143,12.35372105,9.560929644,23,07,2012,36,32,27,24,19,17,70,56,42,1015,1013,1012,16,16,16,29,17,40.0,T,5,Rain,246
99,23/07/2012,ORD,BOS,11.125,12.33630287,7.792485232,23,07,2012,36,32,27,24,19,17,70,56,42,1015,1013,1012,16,16,16,29,17,40.0,T,5,Rain,246
100,06/03/2012,DFW,ORD,6.928571429,12.16902211,5.014813222,06,03,2012,22,17,12,12,10,5,83,66,49,1021,1017,1014,16,16,16,58,33,69.0,0.00,6,,176
101,06/03/2012,DFW,DEN,6.266666667,11.01843144,4.757950739,06,03,2012,22,17,12,12,10,5,83,66,49,1021,1017,1014,16,16,16,58,33,69.0,0.00,6,,176
102,25/01/2012,PHL,DFW,5.454545455,10.42705517,4.156047073,25,01,2012,8,6,3,-2,-3,-5,70,58,45,1028,1025,1023,16,16,16,26,12,34.0,0.00,6,,298
103,24/07/2012,MSP,DEN,11.08695652,10.93022421,8.145902726,24,07,2012,28,24,21,22,21,20,93,82,71,1016,1013,1008,16,12,1,27,13,34.0,42.93,7,Rain-Thunderstorm,100
104,07/03/2012,ATL,MCO,11.08695652,11.84099029,8.45261145,07,03,2012,19,14,8,8,6,-1,76,59,41,1034,1031,1028,16,16,16,23,14,34.0,0.00,5,,116
105,07/03/2012,ATL,LGA,5.857142857,12.14424716,4.588566776,07,03,2012,19,14,8,8,6,-1,76,59,41,1034,1031,1028,16,16,16,23,14,34.0,0.00,5,,116
106,19/10/2012,BOS,EWR,13.26086957,11.20629091,10.72048757,19,10,2012,20,16,12,18,14,11,97,85,72,1019,1013,1007,16,12,1,37,18,47.0,1.52,8,Rain,111
107,30/10/2011,ORD,MSP,8.631578947,11.03859354,6.49110953,30,10,2011,14,7,1,7,2,-3,93,68,43,1020,1017,1014,16,15,10,52,18,69.0,4.32,6,Rain,184
108,30/10/2011,ORD,LGA,10.40909091,13.00723408,8.278826066,30,10,2011,14,7,1,7,2,-3,93,68,43,1020,1017,1014,16,15,10,52,18,69.0,4.32,6,Rain,184
109,25/12/2011,EWR,LAX,12.81818182,10.00741517,8.671993035,25,12,2011,9,3,-4,1,-4,-9,70,60,49,1030,1023,1013,16,16,16,32,12,42.0,0.00,7,,210
110,25/12/2011,EWR,SFO,10.63636364,10.08424426,6.72978776,25,12,2011,9,3,-4,1,-4,-9,70,60,49,1030,1023,1013,16,16,16,32,12,42.0,0.00,7,,210
111,09/03/2012,ORD,LAX,13.25,12.02111119,10.01412047,09,03,2012,4,1,-2,-4,-12,-15,63,43,23,1034,1031,1023,16,16,16,39,20,50.0,0.00,1,,334
112,09/03/2012,ORD,DFW,9.647058824,12.217606,8.092752749,09,03,2012,4,1,-2,-4,-12,-15,63,43,23,1034,1031,1023,16,16,16,39,20,50.0,0.00,1,,334
113,09/03/2012,ORD,EWR,10.55555556,11.84424789,9.512977033,09,03,2012,4,1,-2,-4,-12,-15,63,43,23,1034,1031,1023,16,16,16,39,20,50.0,0.00,1,,334
114,02/10/2011,CLT,LGA,11.40909091,10.72247853,7.920191742,02,10,2011,18,12,5,4,3,0,89,60,30,1019,1017,1015,16,16,16,24,9,34.0,0.00,1,,304
115,20/12/2012,SFO,JFK,18.48648649,12.064995,12.77719675,20,12,2012,16,9,3,5,2,-1,79,62,44,1023,1019,1016,16,16,16,48,21,63.0,0.00,4,,162
116,20/12/2012,SFO,EWR,14.86956522,10.4615289,13.4106618,20,12,2012,16,9,3,5,2,-1,79,62,44,1023,1019,1016,16,16,16,48,21,63.0,0.00,4,,162
117,28/10/2012,MCO,ATL,13.25925926,11.02853973,9.800284896,28,10,2012,23,19,14,16,14,12,90,76,61,1009,1006,1005,16,16,16,34,23,45.0,0.00,4,,289
118,15/09/2011,ORD,DTW,9.647058824,11.71975785,7.557621786,15,09,2011,15,11,6,4,1,0,71,55,39,1029,1027,1023,16,16,16,32,14,45.0,0.00,3,,9
119,15/09/2011,ORD,DEN,12.125,11.55621807,7.963571954,15,09,2011,15,11,6,4,1,0,71,55,39,1029,1027,1023,16,16,16,32,14,45.0,0.00,3,,9
120,19/07/2012,ORD,DFW,11.13043478,12.93429774,7.027894731,19,07,2012,28,25,22,22,21,19,93,79,65,1014,1012,1010,16,14,3,34,18,45.0,20.32,8,Rain-Thunderstorm,48
121,19/07/2012,ORD,SFO,10.68181818,12.46430613,6.763954631,19,07,2012,28,25,22,22,21,19,93,79,65,1014,1012,1010,16,14,3,34,18,45.0,20.32,8,Rain-Thunderstorm,48
122,20/05/2012,LAX,DEN,11.79166667,11.41010294,9.357532036,20,05,2012,21,18,15,14,14,13,90,79,68,1014,1013,1011,14,9,5,27,11,35.0,0.00,4,,248
123,20/05/2012,LAX,EWR,11.33333333,11.04360019,8.990735973,20,05,2012,21,18,15,14,14,13,90,79,68,1014,1013,1011,14,9,5,27,11,35.0,0.00,4,,248
124,28/08/2012,PHX,DEN,11.26315789,10.84321248,9.15206173,28,08,2012,43,37,30,18,14,8,46,30,14,1011,1008,1005,16,16,16,24,10,37.0,0.00,2,,102
125,28/01/2013,JFK,LAS,12.22727273,11.49443268,10.11802643,28,01,2013,2,-1,-4,1,-3,-12,96,76,55,1033,1025,1017,16,9,2,32,14,39.0,4.83,8,Rain-Snow,220
126,28/01/2013,JFK,MIA,10.75,9.533733287,8.315331433,28,01,2013,2,-1,-4,1,-3,-12,96,76,55,1033,1025,1017,16,9,2,32,14,39.0,4.83,8,Rain-Snow,220
127,17/05/2012,CLT,ATL,9.95,11.11231759,8.255620095,17,05,2012,28,22,16,18,16,13,93,69,45,1017,1014,1013,16,16,13,27,9,37.0,0.00,8,,18
128,13/08/2012,ORD,SEA,16.59375,11.35592107,10.9569815,13,08,2012,21,18,16,17,16,13,100,84,68,1015,1015,1014,16,11,3,23,5,26.0,10.16,7,Rain,34
129,25/10/2012,DFW,PHL,11.57142857,11.57511363,9.135488102,25,10,2012,27,20,12,19,14,4,79,65,51,1018,1012,1008,16,16,16,52,28,63.0,T,6,Rain,239
130,25/10/2012,DFW,DEN,8.9,11.77123239,6.365201448,25,10,2012,27,20,12,19,14,4,79,65,51,1018,1012,1008,16,16,16,52,28,63.0,T,6,Rain,239
131,25/12/2012,DEN,LAX,15.03448276,10.39193217,11.89082107,25,12,2012,-9,-13,-18,-11,-17,-20,87,70,53,1028,1023,1012,16,11,1,24,9,27.0,1.52,4,Snow,73
132,12/02/2012,MIA,ATL,14.75,10.37053642,10.77935269,12,02,2012,16,13,9,6,2,-4,68,52,35,1025,1023,1020,16,16,16,32,16,47.0,0.00,4,,340
133,11/10/2011,ORD,EWR,11.23809524,12.13312954,8.514133907,11,10,2011,26,20,14,13,12,11,80,63,45,1017,1015,1012,16,16,16,24,8,27.0,0.00,5,,144
134,11/10/2011,ORD,DEN,13.08,11.30011786,8.999629622,11,10,2011,26,20,14,13,12,11,80,63,45,1017,1015,1012,16,16,16,24,8,27.0,0.00,5,,144
135,16/05/2012,JFK,LAX,16.91428571,13.69531188,11.74827003,16,05,2012,22,19,15,17,16,14,93,83,73,1014,1012,1011,16,9,0,24,13,,0.51,7,Fog-Rain,182
136,19/03/2012,LAS,ORD,12.625,11.150477,9.792688044,19,03,2012,13,8,4,-3,-5,-9,59,40,20,1014,1009,1004,16,16,16,32,11,39.0,0.00,3,,215
137,19/03/2012,LAS,DEN,10.52380952,10.7284085,7.298075415,19,03,2012,13,8,4,-3,-5,-9,59,40,20,1014,1009,1004,16,16,16,32,11,39.0,0.00,3,,215
138,19/03/2012,LAS,LAX,14.34615385,11.13149489,11.30996837,19,03,2012,13,8,4,-3,-5,-9,59,40,20,1014,1009,1004,16,16,16,32,11,39.0,0.00,3,,215
139,16/07/2012,MCO,PHL,13.57692308,10.22125872,9.533826417,16,07,2012,32,27,22,23,22,21,100,78,55,1019,1017,1015,16,16,16,34,6,40.0,1.27,5,Rain-Thunderstorm,164
140,16/07/2012,MCO,EWR,15.71428571,10.65597315,11.39154054,16,07,2012,32,27,22,23,22,21,100,78,55,1019,1017,1015,16,16,16,34,6,40.0,1.27,5,Rain-Thunderstorm,164
141,12/09/2012,BOS,LGA,5.0,13.40480635,4.156047073,12,09,2012,23,17,12,15,11,8,84,64,44,1028,1027,1025,16,16,16,26,11,32.0,0.00,0,,167
142,12/09/2012,BOS,LAX,9.894736842,10.73431968,7.070240738,12,09,2012,23,17,12,15,11,8,84,64,44,1028,1027,1025,16,16,16,26,11,32.0,0.00,0,,167
